bin,confidence_min,confidence_max,count,mean_confidence,accuracy
0,0.0,0.1,0,,
1,0.1,0.2,0,,
2,0.2,0.3,22,0.2765970528125763,0.22727272727272727
3,0.3,0.4,74,0.3583747446537018,0.2702702702702703
4,0.4,0.5,69,0.4448232352733612,0.2753623188405797
5,0.5,0.6,52,0.5542910695075989,0.4807692307692308
6,0.6,0.7,38,0.6379746198654175,0.5526315789473685
7,0.7,0.8,26,0.7442757487297058,0.6538461538461539
8,0.8,0.9,13,0.8350245356559753,0.9230769230769231
9,0.9,1.0,6,0.9482396245002747,0.8333333333333334
