true_label,pred_label,count,row_normalized
neutral,neutral,0,0.0
neutral,calm,5,0.25
neutral,happy,0,0.0
neutral,sad,15,0.75
neutral,angry,0,0.0
neutral,fearful,0,0.0
neutral,disgust,0,0.0
neutral,surprised,0,0.0
calm,neutral,0,0.0
calm,calm,29,0.725
calm,happy,0,0.0
calm,sad,11,0.275
calm,angry,0,0.0
calm,fearful,0,0.0
calm,disgust,0,0.0
calm,surprised,0,0.0
happy,neutral,0,0.0
happy,calm,2,0.05
happy,happy,9,0.225
happy,sad,13,0.325
happy,angry,7,0.175
happy,fearful,2,0.05
happy,disgust,0,0.0
happy,surprised,7,0.175
sad,neutral,0,0.0
sad,calm,10,0.25
sad,happy,0,0.0
sad,sad,14,0.35
sad,angry,8,0.2
sad,fearful,0,0.0
sad,disgust,2,0.05
sad,surprised,6,0.15
angry,neutral,0,0.0
angry,calm,0,0.0
angry,happy,0,0.0
angry,sad,7,0.175
angry,angry,28,0.7
angry,fearful,1,0.025
angry,disgust,0,0.0
angry,surprised,4,0.1
fearful,neutral,0,0.0
fearful,calm,0,0.0
fearful,happy,0,0.0
fearful,sad,13,0.325
fearful,angry,6,0.15
fearful,fearful,10,0.25
fearful,disgust,0,0.0
fearful,surprised,11,0.275
disgust,neutral,0,0.0
disgust,calm,1,0.025
disgust,happy,1,0.025
disgust,sad,11,0.275
disgust,angry,8,0.2
disgust,fearful,3,0.075
disgust,disgust,8,0.2
disgust,surprised,8,0.2
surprised,neutral,0,0.0
surprised,calm,0,0.0
surprised,happy,0,0.0
surprised,sad,13,0.325
surprised,angry,0,0.0
surprised,fearful,0,0.0
surprised,disgust,1,0.025
surprised,surprised,26,0.65
