true_label,pred_label,count,row_normalized
neutral,neutral,10,0.5
neutral,calm,1,0.05
neutral,happy,0,0.0
neutral,sad,7,0.35
neutral,angry,0,0.0
neutral,fearful,0,0.0
neutral,disgust,1,0.05
neutral,surprised,1,0.05
calm,neutral,0,0.0
calm,calm,27,0.675
calm,happy,0,0.0
calm,sad,10,0.25
calm,angry,0,0.0
calm,fearful,1,0.025
calm,disgust,1,0.025
calm,surprised,1,0.025
happy,neutral,1,0.025
happy,calm,0,0.0
happy,happy,25,0.625
happy,sad,4,0.1
happy,angry,0,0.0
happy,fearful,3,0.075
happy,disgust,0,0.0
happy,surprised,7,0.175
sad,neutral,1,0.025
sad,calm,3,0.075
sad,happy,1,0.025
sad,sad,22,0.55
sad,angry,1,0.025
sad,fearful,4,0.1
sad,disgust,3,0.075
sad,surprised,5,0.125
angry,neutral,0,0.0
angry,calm,0,0.0
angry,happy,2,0.05
angry,sad,3,0.075
angry,angry,31,0.775
angry,fearful,0,0.0
angry,disgust,1,0.025
angry,surprised,3,0.075
fearful,neutral,0,0.0
fearful,calm,5,0.125
fearful,happy,0,0.0
fearful,sad,4,0.1
fearful,angry,0,0.0
fearful,fearful,25,0.625
fearful,disgust,1,0.025
fearful,surprised,5,0.125
disgust,neutral,0,0.0
disgust,calm,0,0.0
disgust,happy,1,0.025
disgust,sad,2,0.05
disgust,angry,5,0.125
disgust,fearful,3,0.075
disgust,disgust,23,0.575
disgust,surprised,6,0.15
surprised,neutral,0,0.0
surprised,calm,1,0.025
surprised,happy,0,0.0
surprised,sad,5,0.125
surprised,angry,1,0.025
surprised,fearful,0,0.0
surprised,disgust,0,0.0
surprised,surprised,33,0.825
